Sexo;Edad;Provincias;Periodo;Total
Hombres;Total;Total Nacional;1 de enero de 2020;23.199.313
Hombres;Total;Total Nacional;1 de enero de 2019;23.009.259
Hombres;Total;Total Nacional;1 de enero de 2018;22.881.882
Hombres;Total;Total Nacional;1 de enero de 2017;22.834.227
Hombres;Total;Total Nacional;1 de enero de 2016;22.807.464
Hombres;Total;Total Nacional;1 de enero de 2015;22.826.546
Hombres;Total;Total Nacional;1 de enero de 2014;22.877.461
Hombres;Total;Total Nacional;1 de enero de 2013;23.017.758
Hombres;Total;Total Nacional;1 de enero de 2012;23.099.009
Hombres;Total;Total Nacional;1 de enero de 2011;23.049.476
Hombres;Total;Total Nacional;1 de enero de 2010;22.982.272
Hombres;Total;Total Nacional;1 de enero de 2009;22.880.534
Hombres;Total;Total Nacional;1 de enero de 2008;22.591.484
Hombres;Total;Total Nacional;1 de enero de 2007;22.118.970
Hombres;Total;Total Nacional;1 de enero de 2006;21.719.317
Hombres;Total;Total Nacional;1 de enero de 2005;21.335.283
Hombres;Total;Total Nacional;1 de enero de 2004;20.924.581
Hombres;Total;Total Nacional;1 de enero de 2003;20.542.468
Hombres;Total;Total Nacional;1 de enero de 2002;20.115.522
Hombres;Total;Total Nacional;1 de enero de 2001;19.923.892
Hombres;Total;Total Nacional;1 de enero de 2000;19.826.339
Hombres;Total;Total Nacional;1 de enero de 1999;19.744.257
Hombres;Total;Total Nacional;1 de enero de 1998;19.664.565
Hombres;Total;Total Nacional;1 de enero de 1997;19.579.778
Hombres;Total;Total Nacional;1 de enero de 1996;19.500.458
Hombres;Total;Total Nacional;1 de enero de 1995;19.417.999
Hombres;Total;Total Nacional;1 de enero de 1994;19.328.299
Hombres;Total;Total Nacional;1 de enero de 1993;19.231.389
Hombres;Total;Total Nacional;1 de enero de 1992;19.126.029
Hombres;Total;Total Nacional;1 de enero de 1991;19.042.818
Hombres;Total;Total Nacional;1 de enero de 1990;19.039.785
Hombres;Total;Total Nacional;1 de enero de 1989;19.023.679
Hombres;Total;Total Nacional;1 de enero de 1988;18.995.710
Hombres;Total;Total Nacional;1 de enero de 1987;18.954.956
Hombres;Total;Total Nacional;1 de enero de 1986;18.906.124
Hombres;Total;Total Nacional;1 de enero de 1985;18.849.258
Hombres;Total;Total Nacional;1 de enero de 1984;18.775.089
Hombres;Total;Total Nacional;1 de enero de 1983;18.695.393
